canonical,concept,priority,cast_type
employees,AverageNumberEmployeesDuringPeriod,1,INTEGER
employees,EmployeesTotal,2,INTEGER
turnover,TurnoverRevenue,1,DECIMAL
turnover,TurnoverGrossOperatingRevenue,2,DECIMAL
fixed_assets,FixedAssets,1,DECIMAL
fixed_assets,TangibleFixedAssets,2,DECIMAL
fixed_assets,PropertyPlantEquipment,3,DECIMAL
current_assets,CurrentAssets,1,DECIMAL
cash,CashBankOnHand,1,DECIMAL
cash,CashBankInHand,2,DECIMAL
debtors,Debtors,1,DECIMAL
creditors_within_one_year,CreditorsDueWithinOneYear,1,DECIMAL
creditors_within_one_year,Creditors,2,DECIMAL
creditors_after_one_year,CreditorsDueAfterOneYear,1,DECIMAL
net_current_assets,NetCurrentAssetsLiabilities,1,DECIMAL
total_assets_less_current_liabilities,TotalAssetsLessCurrentLiabilities,1,DECIMAL
net_assets,NetAssetsLiabilities,1,DECIMAL
net_assets,NetAssetsLiabilitiesIncludingPensionAssetLiability,2,DECIMAL
equity,Equity,1,DECIMAL
equity,ShareholderFunds,2,DECIMAL
called_up_share_capital,CalledUpShareCapital,1,DECIMAL
retained_earnings,ProfitLossAccountReserve,1,DECIMAL
gross_profit,GrossProfitLoss,1,DECIMAL
other_operating_income,OtherOperatingIncome,1,DECIMAL
other_operating_income,OtherOperatingIncomeFormat2,2,DECIMAL
cost_of_sales,CostSales,1,DECIMAL
administrative_expenses,AdministrativeExpenses,1,DECIMAL
staff_costs,StaffCosts,1,DECIMAL
staff_costs,StaffCostsEmployeeBenefitsExpense,2,DECIMAL
raw_materials,RawMaterialsConsumables,1,DECIMAL
raw_materials,RawMaterialsConsumablesUsed,2,DECIMAL
depreciation,DepreciationOtherAmountsWrittenOffTangibleIntangibleFixedAssets,1,DECIMAL
depreciation,DepreciationAmortisationImpairmentExpense,2,DECIMAL
other_operating_charges,OtherOperatingChargesFormat2,1,DECIMAL
other_operating_charges,OtherOperatingExpensesFormat2,2,DECIMAL
operating_profit,OperatingProfitLoss,1,DECIMAL
profit_before_tax,ProfitLossOnOrdinaryActivitiesBeforeTax,1,DECIMAL
profit_before_tax,ProfitLoss,2,DECIMAL
tax,TaxTaxCreditOnProfitOrLossOnOrdinaryActivities,1,DECIMAL
tax,TaxOnProfitOrLossOnOrdinaryActivities,2,DECIMAL
profit_for_period,ProfitLossForPeriod,1,DECIMAL
profit_for_period,ProfitLoss,3,DECIMAL
intangible_assets,IntangibleAssets,1,DECIMAL
ppe,PropertyPlantEquipment,1,DECIMAL
investments,InvestmentsFixedAssets,1,DECIMAL
stocks,StocksInventory,1,DECIMAL
company_name,EntityCurrentLegalOrRegisteredName,1,VARCHAR
company_name,EntityCurrentLegalName,2,VARCHAR
company_dormant,EntityDormantTruefalse,1,BOOLEAN
company_dormant,EntityDormant,2,BOOLEAN
balance_sheet_date,BalanceSheetDate,1,DATE
