concept_qname,local_name,namespace,balance,period_type,item_type,abstract,nillable,substitution_group
{http://xbrl.frc.org.uk/fr/2021-01-01/core}AdministrativeExpenses,AdministrativeExpenses,http://xbrl.frc.org.uk/fr/2021-01-01/core,debit,duration,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}AverageNumberEmployeesDuringPeriod,AverageNumberEmployeesDuringPeriod,http://xbrl.frc.org.uk/fr/2021-01-01/core,,duration,nonNegativeIntegerItemType,,,
{http://xbrl.frc.org.uk/cd/2021-01-01/business}BalanceSheetDate,BalanceSheetDate,http://xbrl.frc.org.uk/cd/2021-01-01/business,,duration,dateItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}CalledUpShareCapital,CalledUpShareCapital,http://xbrl.frc.org.uk/fr/2021-01-01/core,credit,instant,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}CashBankInHand,CashBankInHand,http://xbrl.frc.org.uk/fr/2021-01-01/core,debit,instant,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}CashBankOnHand,CashBankOnHand,http://xbrl.frc.org.uk/fr/2021-01-01/core,debit,instant,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}Creditors,Creditors,http://xbrl.frc.org.uk/fr/2021-01-01/core,credit,instant,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}CreditorsDueAfterOneYear,CreditorsDueAfterOneYear,http://xbrl.frc.org.uk/fr/2021-01-01/core,credit,instant,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}CreditorsDueWithinOneYear,CreditorsDueWithinOneYear,http://xbrl.frc.org.uk/fr/2021-01-01/core,credit,instant,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}CurrentAssets,CurrentAssets,http://xbrl.frc.org.uk/fr/2021-01-01/core,debit,instant,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}Debtors,Debtors,http://xbrl.frc.org.uk/fr/2021-01-01/core,debit,instant,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}EmployeesTotal,EmployeesTotal,http://xbrl.frc.org.uk/fr/2021-01-01/core,,duration,nonNegativeIntegerItemType,,,
{http://xbrl.frc.org.uk/cd/2021-01-01/business}EndDateForPeriodCoveredByReport,EndDateForPeriodCoveredByReport,http://xbrl.frc.org.uk/cd/2021-01-01/business,,duration,dateItemType,,,
{http://xbrl.frc.org.uk/cd/2021-01-01/business}EntityCurrentLegalOrRegisteredName,EntityCurrentLegalOrRegisteredName,http://xbrl.frc.org.uk/cd/2021-01-01/business,,duration,stringItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}Equity,Equity,http://xbrl.frc.org.uk/fr/2021-01-01/core,credit,instant,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}FixedAssets,FixedAssets,http://xbrl.frc.org.uk/fr/2021-01-01/core,debit,instant,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}GrossProfitLoss,GrossProfitLoss,http://xbrl.frc.org.uk/fr/2021-01-01/core,credit,duration,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}IntangibleAssets,IntangibleAssets,http://xbrl.frc.org.uk/fr/2021-01-01/core,debit,instant,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}InvestmentsFixedAssets,InvestmentsFixedAssets,http://xbrl.frc.org.uk/fr/2021-01-01/core,debit,instant,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}NetAssetsLiabilities,NetAssetsLiabilities,http://xbrl.frc.org.uk/fr/2021-01-01/core,,instant,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}NetCurrentAssetsLiabilities,NetCurrentAssetsLiabilities,http://xbrl.frc.org.uk/fr/2021-01-01/core,,instant,monetaryItemType,,,
{http://xbrl.frc.org.uk/fr/2021-01-01/core}OperatingProfitLoss,OperatingProfitLoss,http://xbrl.frc.org.uk/fr/2021-01-01/core,credit,duration,monetaryItemType,,,
