column_name,concept,priority,grain,transform,dim_filter
balance_sheet_date,BalanceSheetDate,0,general,identity,
companies_house_registered_number,UKCompaniesHouseRegisteredNumber,0,general,str,
companies_house_registered_number,CompaniesHouseRegisteredNumber,1,general,str,
entity_current_legal_name,EntityCurrentLegalOrRegisteredName,0,general,str,
entity_current_legal_name,EntityCurrentLegalName,1,general,str,
company_dormant,EntityDormantTruefalse,0,general,bool,
company_dormant,EntityDormant,1,general,bool,
company_dormant,CompanyDormant,2,general,bool,
company_dormant,CompanyNotDormant,3,general,not_bool,
average_number_employees_during_period,AverageNumberEmployeesDuringPeriod,0,general,abs,
average_number_employees_during_period,EmployeesTotal,1,general,abs,
tangible_fixed_assets,FixedAssets,0,periodical,decimal,
tangible_fixed_assets,TangibleFixedAssets,2,periodical,decimal,
tangible_fixed_assets,PropertyPlantEquipment,4,periodical,decimal,
debtors,Debtors,0,periodical,decimal,
cash_bank_in_hand,CashBankInHand,0,periodical,decimal,
cash_bank_in_hand,CashBankOnHand,2,periodical,decimal,
current_assets,CurrentAssets,0,periodical,decimal,
creditors_due_within_one_year,CreditorsDueWithinOneYear,0,periodical,decimal,
creditors_due_within_one_year,Creditors,1,periodical,decimal,contains:WithinOneYear
creditors_due_after_one_year,CreditorsDueAfterOneYear,0,periodical,decimal,
creditors_due_after_one_year,Creditors,1,periodical,decimal,contains:AfterOneYear
net_current_assets_liabilities,NetCurrentAssetsLiabilities,0,periodical,decimal,
total_assets_less_current_liabilities,TotalAssetsLessCurrentLiabilities,0,periodical,decimal,
net_assets_liabilities_including_pension_asset_liability,NetAssetsLiabilitiesIncludingPensionAssetLiability,0,periodical,decimal,
net_assets_liabilities_including_pension_asset_liability,NetAssetsLiabilities,2,periodical,decimal,
called_up_share_capital,CalledUpShareCapital,0,periodical,decimal,
profit_loss_account_reserve,ProfitLossAccountReserve,0,periodical,decimal,
shareholder_funds,ShareholderFunds,0,periodical,decimal,
shareholder_funds,Equity,2,periodical,decimal,
turnover_gross_operating_revenue,TurnoverGrossOperatingRevenue,0,periodical,decimal,
turnover_gross_operating_revenue,TurnoverRevenue,2,periodical,decimal,
other_operating_income,OtherOperatingIncome,0,periodical,decimal,
other_operating_income,OtherOperatingIncomeFormat2,2,periodical,decimal,
cost_sales,CostSales,0,periodical,decimal,
gross_profit_loss,GrossProfitLoss,0,periodical,decimal,
administrative_expenses,AdministrativeExpenses,0,periodical,decimal,
raw_materials_consumables,RawMaterialsConsumables,0,periodical,decimal,
raw_materials_consumables,RawMaterialsConsumablesUsed,2,periodical,decimal,
staff_costs,StaffCosts,0,periodical,decimal,
staff_costs,StaffCostsEmployeeBenefitsExpense,2,periodical,decimal,
depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,DepreciationOtherAmountsWrittenOffTangibleIntangibleFixedAssets,0,periodical,decimal,
depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,DepreciationAmortisationImpairmentExpense,2,periodical,decimal,
other_operating_charges_format2,OtherOperatingChargesFormat2,0,periodical,decimal,
other_operating_charges_format2,OtherOperatingExpensesFormat2,2,periodical,decimal,
operating_profit_loss,OperatingProfitLoss,0,periodical,decimal,
profit_loss_on_ordinary_activities_before_tax,ProfitLossOnOrdinaryActivitiesBeforeTax,0,periodical,decimal,
tax_on_profit_or_loss_on_ordinary_activities,TaxOnProfitOrLossOnOrdinaryActivities,0,periodical,decimal,
tax_on_profit_or_loss_on_ordinary_activities,TaxTaxCreditOnProfitOrLossOnOrdinaryActivities,2,periodical,decimal,
profit_loss_for_period,ProfitLoss,0,periodical,decimal,
profit_loss_for_period,ProfitLossForPeriod,2,periodical,decimal,
