column_name,kind
run_code,skip
date,skip
file_type,skip
taxonomy,skip
error,skip
zip_url,skip
average_number_employees_during_period,skip
creditors_due_within_one_year,skip
creditors_due_after_one_year,skip
company_id,must
balance_sheet_date,must
companies_house_registered_number,must
entity_current_legal_name,must
company_dormant,must
tangible_fixed_assets,observe
debtors,observe
cash_bank_in_hand,observe
current_assets,observe
net_current_assets_liabilities,observe
total_assets_less_current_liabilities,observe
net_assets_liabilities_including_pension_asset_liability,observe
called_up_share_capital,observe
profit_loss_account_reserve,observe
shareholder_funds,observe
turnover_gross_operating_revenue,observe
other_operating_income,observe
cost_sales,observe
gross_profit_loss,observe
administrative_expenses,observe
raw_materials_consumables,observe
staff_costs,observe
depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,observe
other_operating_charges_format2,observe
operating_profit_loss,observe
profit_loss_on_ordinary_activities_before_tax,observe
tax_on_profit_or_loss_on_ordinary_activities,observe
profit_loss_for_period,observe
